# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Fri, 16 Jul 2021 21:28:32 +0200
#
# IP	number of (black)lists
#
141.98.10.179	10
171.25.193.25	10
209.141.42.147	9
161.35.80.11	9
171.25.193.78	9
199.195.248.154	9
205.185.119.90	8
205.185.126.160	8
209.141.50.25	8
205.185.121.179	8
205.185.125.109	8
107.189.1.174	8
209.141.54.66	8
209.141.62.234	8
205.185.126.8	8
141.98.10.29	8
107.189.1.180	8
141.98.10.203	8
64.113.32.29	8
134.122.63.163	8
62.210.105.116	8
199.19.226.109	7
128.31.0.13	7
221.131.165.23	7
209.141.53.8	7
222.187.232.205	7
107.189.6.214	7
104.244.78.233	7
107.189.1.161	7
221.131.165.56	7
209.141.60.49	7
178.20.55.16	7
162.247.72.199	7
221.181.185.140	7
221.181.185.143	7
185.220.100.254	7
185.107.70.202	7
192.42.116.16	7
166.70.207.2	7
222.187.239.109	7
42.192.69.45	7
185.130.44.108	7
222.186.42.7	7
176.10.104.240	7
107.189.3.151	7
221.181.185.223	7
1.15.92.61	7
107.189.2.212	7
107.189.28.77	7
221.181.185.159	7
107.189.30.250	7
221.181.185.153	7
171.251.26.14	7
45.153.160.133	7
45.153.160.132	7
222.186.42.13	7
104.244.79.229	7
77.247.181.163	7
51.15.43.205	7
104.244.72.14	7
162.247.74.206	7
205.185.127.25	7
89.234.157.254	7
221.181.185.198	7
36.112.171.51	7
222.186.30.112	7
221.181.185.19	7
190.56.224.166	7
107.189.1.144	7
171.25.193.77	7
185.220.101.9	7
185.220.101.4	7
185.220.101.1	7
209.141.32.39	7
107.189.30.47	7
116.98.169.131	7
107.189.1.107	7
62.210.37.82	7
222.186.42.213	7
222.186.42.137	7
185.220.101.22	7
221.181.185.151	7
143.110.221.59	7
221.181.185.220	7
198.144.121.93	7
222.186.180.130	7
104.244.76.206	7
107.189.3.138	7
107.189.10.140	7
205.185.125.24	7
176.10.99.200	7
222.187.238.136	7
205.185.117.79	7
222.168.30.19	7
222.186.30.76	7
167.99.34.181	7
167.99.176.15	7
199.19.226.145	7
221.181.185.135	7
209.141.35.160	7
80.67.172.162	7
186.225.21.145	6
147.139.135.198	6
205.185.116.44	6
61.177.173.11	6
45.80.64.230	6
49.234.31.134	6
115.243.147.106	6
89.163.249.244	6
159.203.68.197	6
185.6.91.219	6
87.118.110.27	6
92.246.84.133	6
81.71.3.8	6
185.107.47.215	6
188.166.240.83	6
183.6.107.248	6
185.220.102.242	6
185.220.102.243	6
185.220.102.248	6
185.220.102.249	6
175.97.136.186	6
128.199.230.181	6
58.32.11.150	6
124.95.132.151	6
121.4.175.37	6
161.35.6.188	6
164.52.24.164	6
107.189.11.254	6
1.13.15.166	6
205.185.122.83	6
162.247.74.202	6
121.4.15.16	6
185.107.47.171	6
195.133.40.104	6
60.8.87.190	6
139.186.155.103	6
154.221.17.187	6
59.2.207.236	6
64.225.10.188	6
14.63.162.98	6
192.144.236.224	6
106.75.255.184	6
142.93.191.19	6
107.189.2.248	6
68.183.106.207	6
8.208.86.156	6
104.236.201.108	6
179.43.176.112	6
89.144.12.17	6
74.201.28.120	6
185.220.100.253	6
185.220.100.252	6
185.220.101.24	6
58.210.180.162	6
165.22.176.113	6
107.180.88.176	6
94.230.208.147	6
94.230.208.148	6
42.192.140.212	6
106.52.124.26	6
205.185.125.108	6
82.64.46.144	6
61.147.209.170	6
75.119.153.27	6
49.234.75.11	6
209.141.33.201	6
162.247.74.27	6
162.247.74.217	6
200.107.160.198	6
209.141.50.121	6
154.92.17.73	6
45.144.225.69	6
150.158.153.128	6
1.15.222.105	6
209.141.47.35	6
167.86.94.107	6
139.59.107.236	6
106.13.88.180	6
107.189.1.178	6
94.153.212.78	6
107.189.29.121	6
14.161.50.104	6
107.189.11.246	6
181.57.159.34	6
209.141.41.11	6
141.98.10.56	6
159.65.228.224	6
81.68.99.19	6
1.15.183.15	6
210.16.189.156	6
206.81.4.118	6
62.102.148.69	6
179.43.175.9	6
104.244.76.13	6
45.153.160.131	6
45.153.160.139	6
114.67.249.5	6
200.31.19.206	6
107.189.1.218	6
177.101.124.34	6
139.198.190.249	6
195.206.105.217	6
185.220.101.12	6
45.153.160.2	6
45.141.159.63	6
2.56.59.222	6
176.95.26.14	6
163.172.213.212	6
205.185.117.109	6
45.79.191.232	6
60.248.108.32	6
46.101.138.138	6
46.166.139.111	6
185.220.101.129	6
114.86.220.169	6
107.189.2.67	6
162.247.74.204	6
150.138.81.137	6
41.215.138.42	6
120.53.227.85	6
83.34.21.47	6
193.32.126.161	6
178.73.215.171	6
107.189.1.181	6
94.102.49.190	6
209.141.55.110	6
209.141.61.31	6
5.2.69.50	6
118.195.139.245	6
82.200.65.218	6
185.220.101.6	6
185.220.101.3	6
118.69.53.37	6
130.149.80.199	6
104.244.78.183	6
104.244.78.182	6
182.61.18.141	6
81.161.63.253	6
159.75.80.228	6
179.43.175.125	6
185.165.168.229	6
42.193.161.218	6
106.55.49.239	6
87.241.1.186	6
111.231.3.24	6
42.192.77.48	6
27.110.250.34	6
107.189.8.71	6
77.247.181.165	6
51.15.247.166	6
93.174.95.106	6
185.220.103.5	6
45.153.160.140	6
66.230.230.230	6
103.147.3.167	6
67.205.165.105	6
45.11.79.94	6
171.25.193.20	6
175.24.19.109	6
200.106.192.13	6
209.141.54.8	6
213.202.216.189	6
185.220.102.253	6
185.220.102.251	6
49.235.187.75	6
85.95.191.186	6
121.152.221.196	6
199.195.250.77	6
154.89.5.18	6
95.128.43.164	6
139.59.103.44	6
5.199.130.188	6
150.136.143.69	6
141.98.10.27	6
60.248.108.24	6
45.141.84.126	6
222.64.146.146	6
97.105.212.218	6
185.220.101.207	6
181.124.153.101	6
185.65.205.10	6
198.98.51.189	6
159.75.67.197	6
58.96.200.136	6
61.170.184.60	5
142.93.108.131	5
207.154.244.110	5
183.136.225.42	5
49.235.81.2	5
154.221.30.224	5
61.177.173.13	5
80.82.77.33	5
42.193.2.199	5
118.68.169.168	5
106.75.36.176	5
5.58.49.173	5
122.14.196.149	5
58.17.200.197	5
36.133.29.121	5
1.15.45.218	5
103.96.220.115	5
51.15.178.72	5
1.116.239.178	5
193.122.166.29	5
185.213.155.169	5
223.255.187.154	5
203.170.129.197	5
81.70.246.23	5
71.6.199.23	5
193.169.255.115	5
220.179.5.242	5
101.32.75.101	5
37.18.101.246	5
60.167.169.224	5
5.67.143.37	5
42.193.184.229	5
159.89.110.200	5
49.248.77.234	5
106.55.14.108	5
124.160.42.146	5
61.135.152.226	5
111.67.204.137	5
8.208.79.226	5
209.141.61.58	5
42.192.56.21	5
185.220.102.244	5
185.220.102.245	5
185.220.102.247	5
185.100.87.192	5
162.247.74.74	5
139.155.238.206	5
49.235.114.108	5
45.240.88.97	5
209.141.40.252	5
129.211.16.182	5
136.144.41.153	5
42.193.115.248	5
213.174.106.178	5
106.53.81.17	5
122.51.27.41	5
1.15.226.174	5
42.193.1.6	5
115.238.62.154	5
5.94.27.184	5
121.5.18.138	5
200.119.112.204	5
106.13.231.112	5
49.234.41.110	5
218.153.89.102	5
36.137.108.45	5
103.26.40.145	5
103.77.36.39	5
198.96.155.3	5
1.221.147.163	5
43.128.44.87	5
152.136.255.119	5
23.129.64.166	5
123.207.30.148	5
49.235.131.185	5
194.152.206.17	5
23.129.64.156	5
23.129.64.153	5
23.129.64.150	5
51.178.31.182	5
87.118.116.90	5
81.6.43.167	5
113.128.246.50	5
94.142.241.194	5
171.97.32.12	5
46.101.0.38	5
193.189.100.194	5
185.220.101.206	5
172.108.131.86	5
107.189.2.243	5
165.227.124.168	5
103.140.251.152	5
205.185.113.22	5
178.20.55.18	5
221.147.217.184	5
110.43.49.72	5
116.59.25.201	5
165.227.57.213	5
103.26.136.173	5
139.59.248.5	5
152.32.168.134	5
209.97.138.179	5
106.13.14.153	5
180.130.120.140	5
106.12.242.203	5
167.99.141.28	5
192.160.102.170	5
185.220.100.250	5
31.42.184.136	5
103.7.1.10	5
92.204.174.134	5
218.237.253.167	5
36.134.32.163	5
165.22.190.39	5
120.41.45.3	5
213.202.218.55	5
115.159.45.239	5
107.173.167.149	5
138.197.15.40	5
59.92.69.22	5
106.248.228.114	5
81.70.43.53	5
134.209.218.186	5
64.227.81.29	5
170.106.117.86	5
192.42.116.14	5
192.42.116.13	5
192.42.116.19	5
185.70.109.51	5
115.78.10.115	5
150.158.173.227	5
93.31.12.115	5
198.144.120.234	5
91.149.225.131	5
42.192.181.80	5
1.15.220.145	5
157.230.113.8	5
104.131.107.50	5
82.157.5.106	5
71.6.167.124	5
39.109.122.82	5
5.249.25.116	5
81.44.0.116	5
159.75.15.114	5
107.189.7.143	5
103.216.102.24	5
119.57.127.12	5
176.111.173.156	5
118.27.19.198	5
158.69.63.54	5
101.33.78.239	5
187.73.241.162	5
129.204.207.148	5
193.247.191.111	5
182.73.123.118	5
122.155.223.9	5
185.220.101.216	5
185.220.101.212	5
185.220.101.213	5
106.75.255.157	5
219.142.106.167	5
200.133.39.84	5
106.75.165.49	5
49.235.120.43	5
185.220.101.198	5
107.189.2.114	5
143.110.252.238	5
209.97.159.61	5
117.34.105.246	5
185.220.101.136	5
23.129.64.132	5
211.252.87.42	5
104.236.42.124	5
143.244.169.230	5
121.4.47.27	5
101.231.146.36	5
123.59.120.107	5
103.131.52.4	5
185.235.40.249	5
178.128.236.76	5
